code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing,onset_choice,onset_feedback,onset_response,ctrial,ctrial2,trial,opswitch
101,101,1,0,67,6,3,1,0,0.756,0,0,0,0,658.243,664.546,658999,101,98,215,0
101,101,1,0,68,7,3,0,0,0.706,1,0,0,0,670.172,674.735,670878,102,99,216,0
101,101,1,0,69,8,3,1,1,0.317,1,0,0,0,679.014,681.798,679331,103,100,217,0
101,101,1,0,70,9,3,0,0,0.274,1,0,0,0,686.711,689.881,686985,104,101,218,0
101,101,1,0,71,10,3,1,1,0.42,1,0,0,0,696.118,700.085,696538,105,102,219,0
101,101,1,0,72,11,3,1,0,0.248,0,0,0,0,704.622,707.229,704870,106,103,220,0
101,101,1,0,73,12,3,1,0,0.282,0,0,0,0,709.938,712.142,710220,107,104,221,0
101,101,1,0,74,13,3,0,0,0.438,1,0,0,0,714.843,718.927,715281,108,105,222,0
101,101,1,0,75,14,3,1,1,0.308,1,0,0,0,724.32,728.443,724628,109,106,223,0
101,101,1,0,76,15,3,0,0,0.244,1,0,0,0,732.952,735.973,733196,110,107,224,0
101,101,1,0,77,16,3,#NAME?,NaN,NaN,1,0,0,1,740.195,744.777,NaN,111,0,225,0
101,101,1,0,78,17,3,1,0,-6.438,0,0,0,0,748.923,754.633,742485,112,108,226,0
101,101,1,0,79,18,3,0,0,0.467,1,0,0,0,757.33,760.213,757797,113,109,227,0
101,101,1,0,80,19,3,0,1,-2.575,0,0,0,0,765.862,769.997,763287,114,110,228,0
102,102,2,0,1,0,1,-2,-2,NaN,-1,1,1,0,5.905,0,NaN,0,0,0,1
102,102,2,0,2,1,1,#NAME?,NaN,NaN,0,1,0,1,16.096,21.128,NaN,1,0,1,1
102,102,2,0,3,2,1,1,0,-0.64,0,1,0,0,25.398,28.083,24758,2,1,2,1
102,102,2,0,4,3,1,0,0,-1.631,1,1,0,0,34.431,38.826,32800,3,2,3,1
102,102,2,0,5,4,1,1,1,-0.394,1,1,0,0,43.259,48.525,42865,4,3,4,1
102,102,2,0,6,5,1,1,0,-1.578,0,1,0,0,53.364,56.985,51786,5,4,5,1
102,102,2,0,7,6,1,1,1,-1.36,1,1,0,0,61.459,68.599,60099,6,5,6,1
102,102,2,0,8,7,1,0,0,-3.39,1,1,0,0,74.938,78.244,71548,7,6,7,1
102,102,2,0,9,8,1,0,0,-0.727,1,1,0,0,82.178,85.031,81451,8,7,8,1
102,102,2,0,10,9,1,1,0,-2.653,0,1,0,0,91.421,96.305,88768,9,8,9,1
102,102,2,0,11,10,1,1,1,-0.63,1,1,0,0,99.967,102.926,99337,10,9,10,1
102,102,2,0,12,11,1,1,1,-3.993,1,1,0,0,110.015,113.224,106022,11,10,11,1
102,102,2,0,13,12,1,0,1,-3.395,0,1,0,0,119.534,123.81,116139,12,11,12,1
102,102,2,0,14,13,1,1,0,-3.286,0,1,0,0,130.107,133.626,126821,13,12,13,1
102,102,2,0,15,14,1,0,0,-0.547,1,1,0,0,137.247,140.546,136700,14,13,14,1
102,102,2,0,16,15,1,0,0,-1.89,1,1,0,0,145.543,149.507,143653,15,14,15,1
102,102,2,0,17,16,1,0,0,-2.279,1,1,0,0,154.863,159.74,152584,16,15,16,1
102,102,2,0,18,17,1,0,0,-2.947,1,1,0,0,166.532,170.42,163585,17,16,17,1
102,102,2,0,19,18,1,1,1,-5.62,1,1,0,0,179.061,184.251,173441,18,17,18,1
102,102,2,0,20,19,1,1,0,-0.001,0,1,0,0,187.33,193.966,187329,19,18,19,1
102,102,2,0,21,0,1,-2,-2,NaN,-1,0,1,0,196.635,0,NaN,0,0,0,0
102,102,2,0,22,1,1,1,1,-2.623,1,0,0,0,204.46,208.749,201837,1,1,20,0
102,102,2,0,23,2,1,0,0,-0.231,1,0,0,0,211.979,218.064,211748,2,2,21,0
102,102,2,0,24,3,1,1,1,-0.023,1,0,0,0,221.041,226.383,221018,3,3,22,0
102,102,2,0,25,4,1,0,1,0.697,0,0,0,0,229.525,233.912,230222,4,4,23,0
102,102,2,0,26,5,1,1,0,-0.98,0,0,0,0,238.055,243.918,237075,5,5,24,0
102,102,2,0,27,6,1,1,1,-0.696,1,0,0,0,248.309,253.521,247613,6,6,25,0
102,102,2,0,28,7,1,1,0,-3.861,0,0,0,0,260.487,263.482,256626,7,7,26,0
102,102,2,0,29,8,1,1,0,-6.437,0,0,0,0,272.962,278.879,266525,8,8,27,0
102,102,2,0,30,9,1,1,1,-1.886,1,0,0,0,283.835,287.052,281949,9,9,28,0
102,102,2,0,31,10,1,1,1,-1.354,1,0,0,0,291.393,295.755,290039,10,10,29,0
102,102,2,0,32,11,1,0,0,-1.438,1,0,0,0,300.101,306.161,298663,11,11,30,0
102,102,2,0,33,12,1,1,0,-3.088,0,0,0,0,312.383,314.705,309295,12,12,31,0
102,102,2,0,34,13,1,0,1,-1.402,0,0,0,0,319.227,323.432,317825,13,13,32,0
