code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing
102,102,2,0,52,11,2,0,0,0.568,1,1,0,0
102,102,2,0,53,12,2,1,1,0.554,1,1,0,0
102,102,2,0,54,13,2,1,1,0.648,1,1,0,0
102,102,2,0,55,14,2,1,0,0.71,0,1,0,0
102,102,2,0,56,15,2,1,1,1.16,1,1,0,0
102,102,2,0,57,16,2,0,1,0.799,0,1,0,0
102,102,2,0,58,17,2,1,0,0.671,0,1,0,0
102,102,2,0,59,18,2,0,1,0.542,0,1,0,0
102,102,2,0,60,19,2,0,1,0.814,0,1,0,0
102,102,2,0,61,0,2,-2,-2,NaN,-1,0,1,0
102,102,2,0,62,1,2,0,1,0.508,0,0,0,0
102,102,2,0,63,2,2,0,0,0.584,1,0,0,0
102,102,2,0,64,3,2,0,0,0.914,1,0,0,0
102,102,2,0,65,4,2,0,1,0.601,0,0,0,0
102,102,2,0,66,5,2,1,0,0.401,0,0,0,0
102,102,2,0,67,6,2,1,1,0.657,1,0,0,0
102,102,2,0,68,7,2,0,0,0.556,1,0,0,0
102,102,2,0,69,8,2,1,0,0.6,0,0,0,0
102,102,2,0,70,9,2,1,0,0.518,0,0,0,0
102,102,2,0,71,10,2,1,1,0.549,1,0,0,0
102,102,2,0,72,11,2,1,1,0.945,1,0,0,0
102,102,2,0,73,12,2,1,0,0.61,0,0,0,0
102,102,2,0,74,13,2,1,0,0.608,0,0,0,0
102,102,2,0,75,14,2,1,1,0.917,1,0,0,0
102,102,2,0,76,15,2,1,1,0.525,1,0,0,0
102,102,2,0,77,16,2,1,0,0.555,0,0,0,0
102,102,2,0,78,17,2,1,0,0.699,0,0,0,0
102,102,2,0,79,18,2,0,1,0.619,0,0,0,0
102,102,2,0,80,19,2,0,0,0.486,1,0,0,0
102,102,2,0,1,0,3,-2,-2,NaN,-1,1,1,0
102,102,2,0,2,1,3,1,1,0.676,1,1,0,0
102,102,2,0,3,2,3,1,0,0.599,0,1,0,0
102,102,2,0,4,3,3,1,1,0.703,1,1,0,0
102,102,2,0,5,4,3,1,0,1.251,0,1,0,0
102,102,2,0,6,5,3,1,1,0.621,1,1,0,0
102,102,2,0,7,6,3,1,0,0.675,0,1,0,0
102,102,2,0,8,7,3,1,1,0.489,1,1,0,0
102,102,2,0,9,8,3,1,0,0.655,0,1,0,0
102,102,2,0,10,9,3,0,1,0.451,0,1,0,0
102,102,2,0,11,10,3,0,1,0.666,0,1,0,0
102,102,2,0,12,11,3,1,0,0.538,0,1,0,0
102,102,2,0,13,12,3,0,1,0.635,0,1,0,0
102,102,2,0,14,13,3,0,1,0.642,0,1,0,0
102,102,2,0,15,14,3,1,0,0.425,0,1,0,0
102,102,2,0,16,15,3,1,1,0.486,1,1,0,0
102,102,2,0,17,16,3,1,1,0.584,1,1,0,0
102,102,2,0,18,17,3,1,0,0.411,0,1,0,0
102,102,2,0,19,18,3,1,0,0.466,0,1,0,0
102,102,2,0,20,19,3,0,1,0.669,0,1,0,0
102,102,2,0,21,0,3,-2,-2,NaN,-1,0,1,0
102,102,2,0,22,1,3,1,1,0.551,1,0,0,0
102,102,2,0,23,2,3,1,0,0.615,0,0,0,0
102,102,2,0,24,3,3,0,1,0.732,0,0,0,0
102,102,2,0,25,4,3,0,0,0.507,1,0,0,0
102,102,2,0,26,5,3,1,1,0.509,1,0,0,0
102,102,2,0,27,6,3,1,0,0.682,0,0,0,0
102,102,2,0,28,7,3,1,0,0.491,0,0,0,0
102,102,2,0,29,8,3,1,1,0.397,1,0,0,0
102,102,2,0,30,9,3,1,1,0.419,1,0,0,0
102,102,2,0,31,10,3,1,0,0.416,0,0,0,0
102,102,2,0,32,11,3,1,1,0.381,1,0,0,0
102,102,2,0,33,12,3,1,1,0.414,1,0,0,0
102,102,2,0,34,13,3,0,0,0.495,1,0,0,0
102,102,2,0,35,14,3,0,1,0.414,0,0,0,0
102,102,2,0,36,15,3,1,0,0.393,0,0,0,0
102,102,2,0,37,16,3,1,1,0.388,1,0,0,0
102,102,2,0,38,17,3,0,0,0.451,1,0,0,0
102,102,2,0,39,18,3,0,1,0.534,0,0,0,0
102,102,2,0,40,19,3,1,1,0.445,1,0,0,0
102,102,2,0,41,0,3,-2,-2,NaN,-1,1,1,0
102,102,2,0,42,1,3,0,0,0.613,1,1,0,0
102,102,2,0,43,2,3,0,0,0.364,1,1,0,0
102,102,2,0,44,3,3,1,1,0.387,1,1,0,0
102,102,2,0,45,4,3,1,1,0.528,1,1,0,0
102,102,2,0,46,5,3,1,0,0.497,0,1,0,0
102,102,2,0,47,6,3,0,0,0.397,1,1,0,0
102,102,2,0,48,7,3,1,1,0.474,1,1,0,0
102,102,2,0,49,8,3,1,1,0.63,1,1,0,0
102,102,2,0,50,9,3,1,0,0.404,0,1,0,0
102,102,2,0,51,10,3,0,0,0.415,1,1,0,0
102,102,2,0,52,11,3,1,1,0.4,1,1,0,0
